sample	library	forward	reverse
plam	SRR2027090	/home/share/raw_data/exfi/plam/SRR2027090_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027090_2.fastq.gz
plam	SRR2027091	/home/share/raw_data/exfi/plam/SRR2027091_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027091_2.fastq.gz
plam	SRR2027092	/home/share/raw_data/exfi/plam/SRR2027092_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027092_2.fastq.gz
plam	SRR2027093	/home/share/raw_data/exfi/plam/SRR2027093_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027093_2.fastq.gz
plam	SRR2027094	/home/share/raw_data/exfi/plam/SRR2027094_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027094_2.fastq.gz
plam	SRR2027095	/home/share/raw_data/exfi/plam/SRR2027095_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027095_2.fastq.gz
plam	SRR2027096	/home/share/raw_data/exfi/plam/SRR2027096_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027096_2.fastq.gz
plam	SRR2027097	/home/share/raw_data/exfi/plam/SRR2027097_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027097_2.fastq.gz
plam	SRR2027098	/home/share/raw_data/exfi/plam/SRR2027098_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027098_2.fastq.gz
plam	SRR2027099	/home/share/raw_data/exfi/plam/SRR2027099_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027099_2.fastq.gz
plam	SRR2027100	/home/share/raw_data/exfi/plam/SRR2027100_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027100_2.fastq.gz
plam	SRR2027101	/home/share/raw_data/exfi/plam/SRR2027101_1.fastq.gz	/home/share/raw_data/exfi/plam/SRR2027101_2.fastq.gz
char_ref	1	/home/share/raw_data/char/VAX1_1.fq.gz	/home/share/raw_data/char/VAX1_2.fq.gz
char_ref	2	/home/share/raw_data/char/VAX2_1.fq.gz	/home/share/raw_data/char/VAX2_2.fq.gz
char_ref	3	/home/share/raw_data/char/VAX3_1.fq.gz	/home/share/raw_data/char/VAX3_2.fq.gz
